Format Version,1.23,Take Name,Take 2024-06-23 04.06.32 PM,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2024-06-23 04.06.33.427 PM,Capture Start Frame,35234,Total Frames in Take,2001,Total Exported Frames,2001,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,,,,,,,,,,,,,,,,,,,
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,,,,,,,,,,,,,,,,,,,
,ID,574930B2D6312E11EF,574930B2D6312E11EF,574930B2D6312E11EF,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,,
65,0.65,-0.003108,-3E-06,0.001785,,,,,,,,,,,,,,,,,,,
66,0.66,-0.003221,6.2E-05,0.001857,,,,,,,,,,,,,,,,,,,
67,0.67,-0.003287,0.000105,0.001925,,,,,,,,,,,,,,,,,,,
68,0.68,-0.003334,0.000134,0.001967,,,,,,,,,,,,,,,,,,,
69,0.69,-0.003323,0.000126,0.001984,,,,,,,,,,,,,,,,,,,
70,0.7,-0.00333,0.000121,0.00195,,,,,,,,,,,,,,,,,,,
71,0.71,-0.003316,9E-05,0.001972,,,,,,,,,,,,,,,,,,,
72,0.72,-0.003386,0.000117,0.00197,,,,,,,,,,,,,,,,,,,
73,0.73,-0.003437,0.000132,0.002025,,,,,,,,,,,,,,,,,,,
74,0.74,-0.003448,0.00014,0.002055,,,,,,,,,,,,,,,,,,,
75,0.75,-0.003504,0.000176,0.00209,,,,,,,,,,,,,,,,,,,
76,0.76,-0.003526,0.000172,0.002089,,,,,,,,,,,,,,,,,,,
77,0.77,-0.00359,0.000179,0.002161,,,,,,,,,,,,,,,,,,,
78,0.78,-0.003702,0.000206,0.002249,,,,,,,,,,,,,,,,,,,
79,0.79,-0.003791,0.000224,0.002356,,,,,,,,,,,,,,,,,,,
80,0.8,-0.003918,0.00028,0.002439,,,,,,,,,,,,,,,,,,,
81,0.81,-0.004046,0.00033,0.002512,,,,,,,,,,,,,,,,,,,
82,0.82,-0.004109,0.000344,0.002586,,,,,,,,,,,,,,,,,,,
83,0.83,-0.00418,0.000344,0.002624,,,,,,,,,,,,,,,,,,,
84,0.84,-0.004246,0.000335,0.002618,,,,,,,,,,,,,,,,,,,
85,0.85,-0.004427,0.000472,0.002871,,,,,,,,,,,,,,,,,,,
86,0.86,-0.00608,0.002078,0.004987,,,,,,,,,,,,,,,,,,,
87,0.87,0.00176,-0.002679,-0.003746,,,,,,,,,,,,,,,,,,,
88,0.88,0.001806,-0.002661,-0.003762,,,,,,,,,,,,,,,,,,,
89,0.89,0.001835,-0.002547,-0.003922,,,,,,,,,,,,,,,,,,,
90,0.9,0.001853,-0.002445,-0.004114,,,,,,,,,,,,,,,,,,,
91,0.91,0.001838,-0.002356,-0.004254,,,,,,,,,,,,,,,,,,,
92,0.92,0.001843,-0.002361,-0.004406,,,,,,,,,,,,,,,,,,,
93,0.93,0.001917,-0.00244,-0.004561,,,,,,,,,,,,,,,,,,,
94,0.94,0.002019,-0.002578,-0.004753,,,,,,,,,,,,,,,,,,,
95,0.95,0.002172,-0.002734,-0.004941,,,,,,,,,,,,,,,,,,,
96,0.96,0.002432,-0.002891,-0.005164,,,,,,,,,,,,,,,,,,,
97,0.97,0.002624,-0.003001,-0.005341,,,,,,,,,,,,,,,,,,,
98,0.98,0.002811,-0.003115,-0.005554,,,,,,,,,,,,,,,,,,,
99,0.99,0.002971,-0.003162,-0.005688,,,,,,,,,,,,,,,,,,,
100,1,0.003053,-0.003195,-0.005805,,,,,,,,,,,,,,,,,,,
101,1.01,0.003129,-0.003191,-0.005828,,,,,,,,,,,,,,,,,,,
102,1.02,0.003182,-0.003214,-0.00588,,,,,,,,,,,,,,,,,,,
103,1.03,0.003214,-0.003228,-0.005878,,,,,,,,,,,,,,,,,,,
104,1.04,0.003216,-0.003265,-0.005912,,,,,,,,,,,,,,,,,,,
105,1.05,0.003239,-0.003274,-0.005922,,,,,,,,,,,,,,,,,,,
106,1.06,0.003273,-0.003335,-0.006018,,,,,,,,,,,,,,,,,,,
107,1.07,0.003272,-0.003373,-0.006094,,,,,,,,,,,,,,,,,,,
108,1.08,0.003217,-0.003411,-0.006177,,,,,,,,,,,,,,,,,,,
109,1.09,0.003169,-0.003428,-0.006225,,,,,,,,,,,,,,,,,,,
110,1.1,0.003036,-0.003359,-0.006134,,,,,,,,,,,,,,,,,,,
111,1.11,0.002896,-0.003335,-0.006129,,,,,,,,,,,,,,,,,,,
112,1.12,0.002712,-0.003327,-0.006178,,,,,,,,,,,,,,,,,,,
113,1.13,0.002371,-0.003261,-0.006186,,,,,,,,,,,,,,,,,,,
114,1.14,0.001951,-0.003107,-0.006095,,,,,,,,,,,,,,,,,,,
115,1.15,0.001424,-0.002882,-0.005927,,,,,,,,,,,,,,,,,,,
116,1.16,0.000798,-0.002609,-0.005769,,,,,,,,,,,,,,,,,,,
117,1.17,0.000227,-0.002368,-0.005789,,,,,,,,,,,,,,,,,,,
118,1.18,-0.00043,-0.002087,-0.005881,,,,,,,,,,,,,,,,,,,
119,1.19,-0.001276,-0.00163,-0.005697,,,,,,,,,,,,,,,,,,,
120,1.2,-0.002071,-0.001167,-0.005514,,,,,,,,,,,,,,,,,,,
121,1.21,-0.003234,-0.000552,-0.00501,,,,,,,,,,,,,,,,,,,
122,1.22,-0.004345,-4E-05,-0.00473,,,,,,,,,,,,,,,,,,,
123,1.23,-0.005555,0.000614,-0.004351,,,,,,,,,,,,,,,,,,,
124,1.24,-0.006854,0.001257,-0.004153,,,,,,,,,,,,,,,,,,,
125,1.25,-0.008598,0.002115,-0.00384,,,,,,,,,,,,,,,,,,,
126,1.26,-0.010103,0.003021,-0.00362,,,,,,,,,,,,,,,,,,,
